ablation,setting,auc,optimal_threshold,eval_threshold,fnr_at_eval_threshold,fpr_at_eval_threshold,f1_at_eval_threshold,tpr_at_eval_threshold,threshold_error
neighbor_count,1,0.969625,1.098792672172006,1.05,0.00375,0.7,0.9894475481067659,0.99625,0.70375
neighbor_count,3,0.986875,1.051521633850738,1.05,0.025,0.1,0.9860935524652339,0.975,0.125
neighbor_count,5,0.9946875000000001,1.0516690566710698,1.05,0.00625,0.1,0.9956167814652473,0.99375,0.10625000000000001
neighbor_count,10,0.9948125,1.0356971647599273,1.05,0.07375,0.05,0.9610894941634242,0.92625,0.12375
neighbor_count,20,0.993,1.0287916535965456,1.05,0.13375,0.05,0.927710843373494,0.86625,0.18375000000000002
threshold,0.95,0.9946875000000001,1.0516690566710698,0.95,0.0,1.0,0.9876543209876543,1.0,1.0
threshold,1.0,0.9946875000000001,1.0516690566710698,1.0,0.0,0.8,0.99009900990099,1.0,0.8
threshold,1.05,0.9946875000000001,1.0516690566710698,1.05,0.00625,0.1,0.9956167814652473,0.99375,0.10625000000000001
threshold,1.1,0.9946875000000001,1.0516690566710698,1.1,0.13,0.0,0.9304812834224598,0.87,0.13
threshold,1.15,0.9946875000000001,1.0516690566710698,1.15,0.50375,0.0,0.6633249791144528,0.49625,0.50375
threshold,1.2,0.9946875000000001,1.0516690566710698,1.2,0.8125,0.0,0.3157894736842105,0.1875,0.8125
threshold,1.25,0.9946875000000001,1.0516690566710698,1.25,0.94625,0.0,0.10201660735468565,0.05375,0.94625
retriever_backbone,minilm,0.9119375,1.173440986089059,1.2,0.2,0.2,0.886426592797784,0.8,0.4
retriever_backbone,dpr,0.9946875000000001,1.0516690566710698,1.05,0.00625,0.1,0.9956167814652473,0.99375,0.10625000000000001
neighbor_method,mixed,0.982375,1.0522079407438534,1.05,0.1275,0.0,0.9319092122830441,0.8725,0.1275
neighbor_method,thematic_only,0.9946875000000001,1.0516690566710698,1.05,0.00625,0.1,0.9956167814652473,0.99375,0.10625000000000001
neighbor_method,synonym_only,0.9423750000000001,1.0179905788850985,1.05,0.59625,0.0,0.5752448797862867,0.40375,0.59625
neighbor_method,t5_mixed,0.982375,1.0522079407438534,1.05,0.1275,0.0,0.9319092122830441,0.8725,0.1275
