method,fpr,tpr,threshold
cqrcd,0.0,0.0,inf
cqrcd,0.0,0.05,1.3077590371171703
cqrcd,0.0,0.05375,1.2649170605864128
cqrcd,0.0,0.15375,1.2195291558203651
cqrcd,0.0,0.1875,1.213718834418745
cqrcd,0.0,0.2375,1.1981168518297713
cqrcd,0.0,0.255,1.1708004903408853
cqrcd,0.0,0.27625,1.170258589020161
cqrcd,0.0,0.28375,1.167258119447266
cqrcd,0.0,0.38375,1.1666418765364412
cqrcd,0.0,0.39125,1.1613616431318634
cqrcd,0.0,0.49125,1.1598503708676688
cqrcd,0.0,0.49875,1.1491913704221912
cqrcd,0.0,0.57125,1.1488248572437239
cqrcd,0.0,0.575,1.1448912639351254
cqrcd,0.0,0.675,1.1429182475895097
cqrcd,0.0,0.67625,1.1402034548661342
cqrcd,0.0,0.72625,1.1387169514299227
cqrcd,0.0,0.76375,1.110781701517339
cqrcd,0.0,0.86375,1.110132289732232
cqrcd,0.0,0.8725,1.0997457103091275
cqrcd,0.0,0.9225,1.0960176020228027
cqrcd,0.05,0.9225,1.0837607919491874
cqrcd,0.05,0.92875,1.0632876995468656
cqrcd,0.05,0.97875,1.061976990243016
cqrcd,0.05,0.99375,1.0516690566710698
cqrcd,0.15,0.99375,1.0492187445476047
cqrcd,0.15,0.99625,1.0445923541783178
cqrcd,0.3,0.99625,1.0434061662240308
cqrcd,0.3,0.9975,1.0432354837174422
cqrcd,0.4,0.9975,1.0397873224097918
cqrcd,0.4,1.0,1.0255371468413088
cqrcd,1.0,1.0,0.9693532978265069
ppl,0.0,0.0,inf
ppl,0.0,0.05,120.41362071454398
ppl,0.0,0.1,79.05553388701469
ppl,0.0,0.3,67.98181130572887
ppl,0.0,0.35,63.75264671188034
ppl,0.0,0.4225,54.44307532450433
ppl,0.0,0.4725,53.41463663126106
ppl,0.1,0.4725,48.93976180338064
ppl,0.1,0.5225,45.4742640059924
ppl,0.7,0.5225,28.624099433735953
ppl,0.7,0.5725,27.783687345785445
ppl,0.75,0.5725,27.56405543653323
ppl,0.75,0.575,27.420547697520075
ppl,0.75,0.675,27.413069739561003
ppl,0.75,0.6775,26.453386594259957
ppl,0.8,0.6775,26.169854186873305
ppl,0.8,0.68125,25.82929181563077
ppl,0.85,0.68125,25.398822775934537
ppl,0.85,0.68625,24.209449230251153
ppl,0.85,0.73625,24.19723879561286
ppl,0.85,0.745,23.323006772895102
ppl,0.85,0.795,22.80624554212781
ppl,0.9,0.795,22.74246138264664
ppl,0.9,0.86875,19.65761123307534
ppl,0.95,0.86875,19.64433818247371
ppl,0.95,0.8825,18.981159361076845
ppl,1.0,0.8825,18.85691395782468
ppl,1.0,0.89125,18.179477541039144
ppl,1.0,0.925,5.577662538624481
ppl,1.0,0.975,5.289007965875724
ppl,1.0,0.99625,4.640818589886808
ppl,1.0,1.0,4.5549187590900555
