method,fpr,tpr,threshold
cqrcd,0.0,0.0,inf
cqrcd,0.0,0.00125,1.6132888793477558
cqrcd,0.0,0.005,1.5979118477819922
cqrcd,0.0,0.00875,1.5856556589298758
cqrcd,0.0,0.05375,1.5111434280882494
cqrcd,0.0,0.10375,1.501293653374201
cqrcd,0.0,0.13625,1.41324663731582
cqrcd,0.0,0.23625,1.4120859263044898
cqrcd,0.0,0.2425,1.4053017555484422
cqrcd,0.0,0.26375,1.4037047962094285
cqrcd,0.0,0.26625,1.400516158365077
cqrcd,0.0,0.3,1.3830707887810179
cqrcd,0.05,0.3,1.3258290727507083
cqrcd,0.05,0.35,1.3125575282039703
cqrcd,0.05,0.3525,1.3094124357134933
cqrcd,0.05,0.425,1.3093099476045582
cqrcd,0.05,0.4275,1.3083038669091118
cqrcd,0.05,0.5275,1.3082264794480944
cqrcd,0.05,0.5325,1.2996828843940238
cqrcd,0.05,0.5825,1.2982685899500432
cqrcd,0.05,0.58875,1.2952844531175491
cqrcd,0.1,0.58875,1.2947246731289022
cqrcd,0.1,0.59875,1.2810142080334002
cqrcd,0.1,0.64875,1.2796772493705009
cqrcd,0.1,0.65,1.2711456767807527
cqrcd,0.1,0.7,1.2625046149647834
cqrcd,0.2,0.7,1.258192663583069
cqrcd,0.2,0.8,1.2018857149636142
cqrcd,0.2,0.9,1.1772788087632096
cqrcd,0.2,0.95,1.173440986089059
cqrcd,0.25,0.95,1.1548210944873074
cqrcd,0.25,1.0,1.1291366273849786
cqrcd,1.0,1.0,0.9866051869362671
ppl,0.0,0.0,inf
ppl,0.0,0.05,120.41362071454398
ppl,0.0,0.1,79.05553388701469
ppl,0.0,0.3,67.98181130572887
ppl,0.0,0.35,63.75264671188034
ppl,0.0,0.4225,54.44307532450433
ppl,0.0,0.4725,53.41463663126106
ppl,0.1,0.4725,48.93976180338064
ppl,0.1,0.5225,45.4742640059924
ppl,0.7,0.5225,28.624099433735953
ppl,0.7,0.5725,27.783687345785445
ppl,0.75,0.5725,27.56405543653323
ppl,0.75,0.575,27.420547697520075
ppl,0.75,0.675,27.413069739561003
ppl,0.75,0.6775,26.453386594259957
ppl,0.8,0.6775,26.169854186873305
ppl,0.8,0.68125,25.82929181563077
ppl,0.85,0.68125,25.398822775934537
ppl,0.85,0.68625,24.209449230251153
ppl,0.85,0.73625,24.19723879561286
ppl,0.85,0.745,23.323006772895102
ppl,0.85,0.795,22.80624554212781
ppl,0.9,0.795,22.74246138264664
ppl,0.9,0.86875,19.65761123307534
ppl,0.95,0.86875,19.64433818247371
ppl,0.95,0.8825,18.981159361076845
ppl,1.0,0.8825,18.85691395782468
ppl,1.0,0.89125,18.179477541039144
ppl,1.0,0.925,5.577662538624481
ppl,1.0,0.975,5.289007965875724
ppl,1.0,0.99625,4.640818589886808
ppl,1.0,1.0,4.5549187590900555
