method,fpr,tpr,threshold
cqrcd,0.0,0.0,inf
cqrcd,0.05,0.0,1.5213585400129592
cqrcd,0.05,0.005,1.5054837528456826
cqrcd,0.1,0.005,1.4978933267508843
cqrcd,0.1,0.01125,1.475749715273943
cqrcd,0.15,0.01125,1.475082544685237
cqrcd,0.15,0.05375,1.4133274737601778
cqrcd,0.2,0.05375,1.4130006126060894
cqrcd,0.2,0.11375,1.3732822751630156
cqrcd,0.25,0.11375,1.372763501930208
cqrcd,0.25,0.3675,1.2034688607222288
cqrcd,0.3,0.3675,1.1995440148732581
cqrcd,0.3,0.41125,1.1724093845531391
cqrcd,0.35,0.41125,1.1717587603424635
cqrcd,0.35,0.485,1.1387894276473656
cqrcd,0.4,0.485,1.1387652194623838
cqrcd,0.4,0.49125,1.1375624541221625
cqrcd,0.45,0.49125,1.1374072102004986
cqrcd,0.45,0.6775,1.1027960459905493
cqrcd,0.5,0.6775,1.1024963161334136
cqrcd,0.5,0.68375,1.1007463871375105
cqrcd,0.55,0.68375,1.1007440475225392
cqrcd,0.55,0.7075,1.0947106433395557
cqrcd,0.6,0.7075,1.0944241622602129
cqrcd,0.6,0.745,1.080226935181043
cqrcd,0.65,0.745,1.0800545118160378
cqrcd,0.65,0.81875,1.0372716843111895
cqrcd,0.7,0.81875,1.0361878309628794
cqrcd,0.7,0.86625,1.018576639610231
cqrcd,0.75,0.86625,1.0184186950693441
cqrcd,0.75,0.97875,0.9943621066988998
cqrcd,0.8,0.97875,0.9943423637803881
cqrcd,0.8,0.9875,0.9924718347863583
cqrcd,0.85,0.9875,0.9921276995201921
cqrcd,0.85,1.0,0.9809225984097033
cqrcd,1.0,1.0,0.9481618964449129
ppl,0.0,0.0,inf
ppl,0.0,0.00125,147.27701841043768
ppl,0.0,0.87875,50.589411439752126
ppl,0.05,0.87875,50.52989906555072
ppl,0.05,0.92125,48.9635355943218
ppl,0.1,0.92125,48.93976180338064
ppl,0.1,0.95,42.192282681950665
ppl,0.4,0.95,33.66105219665866
ppl,0.4,0.955,31.409770206012354
ppl,0.45,0.955,31.066025302947462
ppl,0.45,0.95625,30.94254952902073
ppl,0.5,0.95625,30.915567837053704
ppl,0.5,0.9575,30.651827913442347
ppl,0.55,0.9575,30.49313113571367
ppl,0.55,0.9725,29.545480163286403
ppl,0.6,0.9725,29.423403631273395
ppl,0.6,0.9775,29.076402352153703
ppl,0.65,0.9775,29.075036710381763
ppl,0.65,0.98375,28.69763235092283
ppl,0.7,0.98375,28.624099433735953
ppl,0.7,0.99375,27.597486638178562
ppl,0.75,0.99375,27.56405543653323
ppl,0.75,1.0,26.472920209184323
ppl,1.0,1.0,18.85691395782468
